phenotype,ES_PGS_model,df.residual,rss,df,sumsq,statistic,p.value_model_comparison,reduced_model_rsq,full_model_rsq,ES_PGS_beta,ES_PGS_std_err,ES_PGS_pval,matched_beta,matched_std_err,matched_pval,background_beta,background_std_err,background_pval,background_PGS_n_snp,ES_PGS_PGS_n_snp,matched_PGS_n_snp,rsq_gain_per_1000indSNP,relative_rsq_gain_per_1000indSNP
F1,HAQERs,346,266.12262202832744,1,4.873128353293453,6.335810151682849,0.012283749840105329,0.0385659150964183,0.0558547164608997,0.11700895250168136,0.04648555427911965,0.012283749840105027,0.05922743021994409,0.05091023555395499,0.24548116394736166,0.12942551487901063,0.04463415124975721,0.003973839987715269,302035,1350,1752,0.012806519529245478,0.33206834317889283
F1,HARs,346,270.63632062731153,1,0.9587715167155579,1.2257591442813374,0.2690024709991356,0.03643958064994802,0.03984109382684097,-0.05066048893447747,0.0457579759843792,0.2690024709991252,0.04202308517757075,0.046895440773009965,0.37082145243726194,0.1562433651267292,0.0445179858618309,5.079764942519432e-4,302047,1328,1125,0.0025613804042868625,0.07029116028783158
F2,HAQERs,346,223.0488167975671,1,3.3847476943863057,5.250521921936668,0.02254059133392091,0.02931220229656116,0.04382212397101504,0.0975165474448191,0.042557595141539985,0.0225405913339208,0.023697965792913632,0.04660839753047434,0.611462932190739,0.11108903553912042,0.040862632872308347,0.006886259264006389,302035,1350,1752,0.010748090129225093,0.36667630840163906
F2,HARs,346,224.68670449804878,1,0.0636081020570316,0.0979515159159053,0.7544904441511292,0.03652805863633869,0.03680073732971346,0.01304872365673848,0.04169293350141132,0.7544904441511051,0.07154425455298796,0.04272934830718789,0.0949637448953054,0.11607863765323294,0.040563101497052945,0.004470360585317359,302047,1328,1125,2.0533034139666096e-4,0.005621167646516946
F3,HAQERs,346,243.0627836177264,1,3.145977063070404e-4,4.4782999997823434e-4,0.9831286300210391,0.013640858913447431,0.013642135562702927,9.401408902312784e-4,0.04442591184100453,0.9831286300211746,-0.03569579966335919,0.048654548097766856,0.4636540061826673,0.0915901607861249,0.04265653920384595,0.032475473198699895,302035,1350,1752,9.456661151824411e-7,6.932599487926559e-5
F3,HARs,346,242.09139187935392,1,0.7565166208668188,1.081222875327862,0.29915021357109034,0.01451410682407445,0.017584079558950555,0.04500088472964312,0.04327762699772411,0.2991502135710929,0.036350973816366566,0.04435343456539739,0.4130225194633992,0.0743174334469294,0.0421048515667735,0.07843641315050007,302047,1328,1125,0.002311726456985019,0.15927445519076475
F4,HAQERs,346,209.8333301907302,1,0.12764696723729685,0.21048062585652955,0.6466790095679726,0.002638095659696563,0.0032444474877854823,0.018937402796121272,0.04127759194347775,0.6466790095679554,0.03870493728393681,0.04520655850039882,0.3924909384430698,0.006885904847397027,0.03963360899105186,0.8621721629060067,302035,1350,1752,4.491495022880883e-4,0.17025519929013871
F4,HARs,346,210.3874070643477,1,0.0337457716881886,0.05549779412672784,0.8138982034329537,4.5215760195908963e-4,6.124576137514957e-4,0.009504329783394046,0.04034443486697126,0.8138982034329475,-4.351587838530894e-4,0.041347328309942886,0.9916089071512383,0.013834951375832016,0.03925114567183911,0.7246985046711972,302047,1328,1125,1.20707840205125e-4,0.26695966114940256
F5,HAQERs,346,270.63525463016896,1,0.0422545300802426,0.05402129677355854,0.8163454907335579,5.878857012304171e-4,7.439004708993534e-4,-0.010895616390461667,0.04687802450900032,0.8163454907335583,0.022671466872701686,0.05134006267252965,0.6590588271319658,0.001679813647152351,0.045010990374796736,0.9702513195575375,302035,1350,1752,1.1556649605106394e-4,0.19657987225950335
F5,HARs,346,269.8959852570142,1,0.1618372965999697,0.20747142485378733,0.6490422423493072,0.0028759306284248456,0.0034734762289778567,0.020813787811488498,0.0456953468310176,0.6490422423493262,-0.04768690389955931,0.04683125476633136,0.3092607085775314,0.008647786258747495,0.04445705388868501,0.8458828961552399,302047,1328,1125,4.4995903656100227e-4,0.15645684639043117
F6,HAQERs,346,138.53790262326106,1,0.10672538126587483,0.2665478632112083,0.6059867407753086,0.023672923712607076,0.024424477385884342,0.017316057676803668,0.03353987355857144,0.6059867407753183,0.002751407831110569,0.036732333082747017,0.9403341833167358,0.08788109610970998,0.032204064521253704,0.006679577777608459,302035,1350,1752,5.567064246498265e-4,0.023516589307190267
F6,HARs,346,137.73361588451706,1,0.9368227093834776,2.353388135242593,0.1259248942165163,0.0234911671049183,0.030088215905266547,0.05007725560582595,0.03264327624915126,0.12592489421651837,-0.0019444055235657328,0.03345473209963801,0.9536862019890996,0.08275575616549863,0.03175867986467872,0.009562849175568214,302047,1328,1125,0.004967657229177897,0.21146915378835426
F7,HAQERs,346,184.15167667906348,1,0.2747456560089745,0.5162157559106978,0.4729453015911246,4.521984543347082e-4,0.0019412552444136508,-0.027783092413583763,0.03866917935925922,0.4729453015911138,-0.014605361367449863,0.04234986675725842,0.7303987562098273,0.012725127911249485,0.0371290829375016,0.7320121933784032,302035,1350,1752,0.0011030050296881057,2.439205660954523
F7,HARs,346,184.25700246443137,1,0.01602442552791672,0.03009085765263915,0.8623856726642202,0.00128356566294125,0.0013704142777148617,0.006549423137819552,0.03775598167555493,0.8623856726642513,0.024221377345286975,0.03869453061248328,0.5317513528054314,0.002825436395218702,0.036732836675418004,0.9387328019414649,302047,1328,1125,6.539805329338224e-5,0.050950298205644326
