sample.ID,population,population_description,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20
HG00096,1000 Genomes,British in England and Scotland,0.9256487786314157,-66.77391379888653,-13.88697092621868,67.16256932516835,-0.08583618066288698,33.50100519013434,41.57592482666922,-37.36277362365111,18.523739899908282,110.5845540141472,31.92288056548173,58.115814513098265,48.475680439373114,10.711463959722042,-29.00497709544405,16.678272220982787,-4.2447567208899075,71.40479839114693,18.88073626448653,2.1277179727270403
HG00097,1000 Genomes,British in England and Scotland,-0.870398177372629,-70.68188515450119,-12.098338009274208,51.24854615368978,40.502378271767775,38.71126399627617,-5.105619540662014,-55.096453319341414,9.690354677944022,80.88648229466322,36.90503515100329,-16.6879237855303,-23.56803778247068,-29.784604845142947,-35.70250016274799,86.69143408496946,-30.7824422156258,15.616395347565643,15.272050870502026,87.1695009462462
HG00099,1000 Genomes,British in England and Scotland,-2.6992604973638135,-75.11729534808921,-29.202111655515402,46.757257756015584,-25.065405906209122,48.999607559526446,31.892408317605355,-69.46970088618393,29.871647555879733,63.956369226392106,12.951525371224214,-42.27243495063851,70.70242254451026,16.530984917534628,156.16694030290756,-66.69772622124479,6.899412802556607,2.5130496482131583,87.591663135605,-53.863668499955004
HG00100,1000 Genomes,British in England and Scotland,4.913802199405898,-76.76763586575777,-31.958943859779087,119.66542611317445,6.076746023115727,127.64010228089799,64.71195110296306,-61.22858448225317,17.643258849985013,126.26797301744514,43.43231448771081,-41.22823559851387,59.528550904926774,-8.602845469087791,239.03124331318665,-63.45757361387276,2.933737766159532,-61.76200235310002,74.92286081682808,-16.096080289228222
HG00101,1000 Genomes,British in England and Scotland,0.11604185773024726,-81.25560979592375,-29.526391561716363,119.53384798744156,11.678486306749791,33.11935607322997,4.914266716878272,-67.0423255310064,0.7733895537058312,96.34356234462857,11.51503487053811,-7.426791476623798,38.789347643195875,-18.86317555746468,138.04645056114333,-25.057827473697934,-40.49281936708731,-90.00245819297135,67.81905023603045,68.25411703190095
HG00102,1000 Genomes,British in England and Scotland,-4.282339061187888,-76.96127011861552,-9.209208162553423,79.55517150725149,-7.427257064142252,61.222362757795494,4.92523122280791,-12.78865104382967,-19.756252552949935,44.6895025706139,26.392018505616477,41.59717601783981,-4.73166635442707,21.59775822341333,-24.042305288071628,-7.586399318255429,9.384325754059665,-50.86757144918645,-95.58565587488967,-61.09478966331641
HG00103,1000 Genomes,British in England and Scotland,2.9254537957599256,-54.267368725107346,-1.4414014550495542,-7.854382624780544,-6.5253609969655955,6.056990992089844,-12.824022323399522,-91.472457491339,28.648771208006668,-28.38967027395695,-2.834771470557205,47.204723675652644,-6.812104955333665,10.045260583777761,12.099243142437318,-40.38751657208965,65.79945309951503,50.55648927293527,-29.30850767420884,-9.95561671014131
HG00105,1000 Genomes,British in England and Scotland,0.4167313606522759,-59.37013249476791,9.501761438908188,-13.547990087792744,10.497064063875195,-0.89876270063978,6.783770625233913,-64.31217479638065,49.630412040350215,5.9559259705384475,36.94308606044012,-19.67643218668156,41.66788553436242,3.414346921605009,-34.15351127239153,-13.17853102752984,49.5436525813125,29.035430956152403,4.491974029642562,22.488301990709772
HG00106,1000 Genomes,British in England and Scotland,2.7001717705230748,-66.10507528889832,-3.6301061103381667,-2.265878230155962,6.342308819640823,18.157473976168525,-17.50236242505199,-91.48212144662455,30.2400074779215,-30.628918783909885,-64.77952925719426,30.972411366719765,-64.19939789232077,-31.63461592537009,-28.1148959195515,-59.998421950844694,83.19952917260136,62.84658430676512,-4.695796303185648,68.75866455649314
HG00107,1000 Genomes,British in England and Scotland,-5.867304185374083,-69.82684990504006,-32.71825288754896,97.33994186676969,24.844145504580986,87.16090587391484,8.44700205113911,-67.80955680974715,-36.46029720544349,91.54847511773471,32.660234756597156,69.30753453819176,25.468291436769945,70.27240063344873,40.87504872678169,-28.344998726992696,1.443665481596602,-23.878026348972526,-30.484812326298194,-6.815888384326867
