IID,cohort,pgs_genome_wide,pgs_name,pgs_pc_corrected,pgs_pc_corrected_complement,pgs_pc_corrected_matched
sample1,EpiSLI,-1.8538259936682577,cp.HAQERs_1,0.23457475092161517,-1.8232672137135584,0.129062190769351
sample1,EpiSLI,-1.8538259936682577,cp.HARs_1,0.3478561478455524,-1.8605116501310364,-0.8016027970918833
sample2,EpiSLI,0.2600708368235299,cp.HAQERs_1,-0.016751025582542767,0.3003202789184207,0.15700669323241565
sample2,EpiSLI,0.2600708368235299,cp.HARs_1,1.162317496560622,0.2677317096569287,0.4024054203779673
sample3,EpiSLI,-0.7242513600936071,cp.HAQERs_1,-0.6725738120841704,-0.698138327786415,-0.23561876539151702
sample3,EpiSLI,-0.7242513600936071,cp.HARs_1,-1.2024869461460366,-0.7161223265399074,-0.5586877174083335
sample4,EpiSLI,-0.4328715676152287,cp.HAQERs_1,-1.5791738093843,-0.44351519098665926,1.0430786138231523
sample4,EpiSLI,-0.4328715676152287,cp.HARs_1,-0.20697301125550524,-0.4189692659911422,0.10972465973750688
sample5,EpiSLI,1.5895170973103911,cp.HAQERs_1,0.8905656763915099,1.576973752103899,1.1115687228858644
sample5,EpiSLI,1.5895170973103911,cp.HARs_1,-0.6080814288988413,1.587082890731756,1.9920017287189655
sample6,EpiSLI,0.9291980681539597,cp.HAQERs_1,-0.7723044391366678,0.9347911515949828,-1.3526926295130244
sample6,EpiSLI,0.9291980681539597,cp.HARs_1,0.9182032725622764,0.9605165831276689,1.1524758849139607
sample7,EpiSLI,-3.1993419999509753,cp.HAQERs_1,-1.0167326464357986,-3.2215521383875707,-0.019704892915718895
sample7,EpiSLI,-3.1993419999509753,cp.HARs_1,0.2635524283893516,-3.203368798811452,-1.4975700745029181
sample8,EpiSLI,-0.09891515312615,cp.HAQERs_1,0.8026517130987679,-0.1173861080045802,-0.038384062213566945
sample8,EpiSLI,-0.09891515312615,cp.HARs_1,-0.008109935038235334,-0.09279578894094485,0.7870642943691701
sample9,EpiSLI,0.4614956929017435,cp.HAQERs_1,0.3231225741149843,0.4620575336893122,-0.6617798117777922
sample9,EpiSLI,0.4614956929017435,cp.HARs_1,-1.7441155943456752,0.47386948118978944,0.2453788041919908
sample10,EpiSLI,-0.6834893855127563,cp.HAQERs_1,0.7707896897251986,-0.6951255778020383,-0.8728681366569022
sample10,EpiSLI,-0.6834893855127563,cp.HARs_1,1.9982494866010894,-0.6669469373559922,1.257993355096846
sample11,EpiSLI,-0.796749668091516,cp.HAQERs_1,0.11216216653852669,-0.7789301142601547,0.7056730135261038
sample11,EpiSLI,-0.796749668091516,cp.HARs_1,-1.1851921819461448,-0.807273666442961,1.3832004052440108
sample12,EpiSLI,-1.6614419492513162,cp.HAQERs_1,-1.5679270250258714,-1.6884852106942645,0.2533242325465673
sample12,EpiSLI,-1.6614419492513162,cp.HARs_1,0.4103836884175751,-1.6640942197745507,-1.0340643640347695
sample13,EpiSLI,1.106559269968588,cp.HAQERs_1,0.1334080930408111,1.0999243091443331,0.3118001487778272
sample13,EpiSLI,1.106559269968588,cp.HARs_1,-1.2382572650288437,1.1194034736699452,0.6371640719331481
