FID,IID,molecular_sex,lat,long,assessment,sample_age,sample_age_GRM_adj,cp_pgs.HAQER,cp_pgs.background,cp_pgs.matched
5,I13833,M,40.625278,20.801111,PASS,325,601,-1.0352352015390018,0.23739934879832977,-0.49367748672015577
47,I13778,M,42.366667,18.733333,PASS,3234,2470,-0.2761514620188171,0.37057383549905343,0.5480781489183271
48,I0231,M,53.08561111,49.46591111,PASS,4844,2882,0.41612607149777997,-0.24496538655755756,1.6847874300917407
54,I1103,M,40.3037,29.57,PASS,8300,2312,-1.6734228715981876,-1.0452900404817023,0.7969740275697682
176,I14688,M,42.020556,20.388611,PASS,2450,1087,-0.6152036791673974,-0.6705218050085019,-0.23450689062901395
177,I14690,M,42.020556,20.388611,PASS,3000,1551,0.26855223686126095,-0.8756836650566097,-0.8479593486982369
178,I14692,F,42.020556,20.388611,PASS,2900,1806,1.511301284584332,-2.696937547345072,0.08013113226751163
185,I14689,M,42.020556,20.388611,PASS,4505,1781,0.7632309912569221,-0.9014005927429162,-2.183038899578122
188,I13835,F,40.625278,20.801111,PASS,246,337,0.8949700923631537,-0.8433042134605988,0.34799643782763134
189,I13838,M,40.671111,20.984722,PASS,6200,3245,0.28328146608408833,1.6349371226579448,1.4054697335247919
190,I13840,M,40.671111,20.984722,PASS,6102,1583,-0.39181058555375087,-0.32374204328591805,-0.7813847465050406
192,I13839,F,40.432222,20.712778,PASS,1014,743,-0.059501979208646624,0.1679145887572259,0.009484206325433366
193,I14622,M,42.036944,20.397222,PASS,1121,809,0.3640386214814228,1.0927564615956626,1.0924759022293191
194,I14685,F,42.12,20.518056,PASS,400,610,0.2589490091569396,-0.09147447417428389,0.3662069449658116
195,I15706,M,40.998333,19.8325,PASS,320,244,-0.5724655398059495,-0.4175656575946669,0.0688538248995624
196,I14686,M,42.12,20.518056,PASS,400,556,0.20809144990000747,0.9278699471463996,0.4751033856446706
197,I14687,M,42.12,20.518056,PASS,400,447,-0.21352073011716025,0.3143276718299244,-1.9139148141281217
198,I15707,M,42.12,20.518056,PASS,399,539,0.38315809325292294,-0.3071192505890243,-0.36468715188410084
249,I16119,M,40.15118,44.44316667,PASS,2286,2447,-1.636179034585798,-0.40655049441598695,-0.41348420486748877
250,I1407,M,39.73,45.2,PASS,5875,2183,-1.5732257532779603,-2.410345382528053,-0.7619590880229848
252,I1631,F,39.73,45.2,PASS,6099,2373,0.216023777418208,0.4450300205996119,0.1555433670021262
253,I1632,M,39.73,45.2,PASS,6076,3845,-0.6913857294147961,1.0333445060261062,-1.2828212601752502
254,I1634,M,39.73,45.2,PASS,6156,2261,-1.6836393100805414,0.5147422007578357,-1.0143634850104366
255,ARM003,M,40.866667,43.716667,PASS,5163,3628,-1.3244037420731172,-0.710371268544412,-1.0173408355416058
256,I1630,F,38.865,46.199,PASS,750,856,-1.136710891327377,0.7627137788742592,-0.2454157440385703
257,I1659,F,38.865,46.199,PASS,655,564,0.06457197598601422,0.37012609986402023,1.2175197953933565
258,I1660,F,38.865,46.199,PASS,750,756,0.6568772965339588,-0.6300581656479229,0.7629039593922952
259,I1633,F,40.65,45.1167,PASS,4465,2701,-0.951607257988384,0.9686893708303046,-1.2800692879159679
260,I1635,M,40.65,45.1167,PASS,4476,1832,1.204334652314335,-0.5556949530540299,-2.027489738459817
261,I1658,F,40.382958,43.873663,PASS,5162,4078,-0.7628084085065876,0.26216701741728876,-0.19236580033942677
262,ARM001,F,40.866667,43.716667,PASS,5417,3477,-0.08704006356443107,0.22814535303251066,0.31552483847231666
264,I13599,F,40.783,43.95,PASS,4337,2054,1.0101717098575609,-1.7142998766659203,0.0804920032145197
269,I15132,F,41.03,45.08,PASS,4479,2706,-0.9354328654361151,0.9453812669876459,-0.20999472797659444
272,I14340,M,41.03,45.08,PASS,4340,1875,1.6032551871867453,0.5451137934161606,-0.4308543290271506
274,I1657,F,40.39075,43.89106667,PASS,5123,2281,0.32097537481019817,-0.08450118605039664,0.004127098339991042
275,I14812,F,40.783,43.95,PASS,4700,2505,0.028155706547441556,-0.4729170794187001,-1.1151996587809303
276,I16116,F,40.91666,44.5,PASS,3050,1780,-0.6362236061934792,-0.28018953718223927,0.6718871285796183
277,I16117,M,40.91666,44.5,PASS,2586,1650,0.9018012804163855,-0.2819700635338015,0.2838745943918405
278,I16191,M,40.91666,44.5,PASS,2608,2427,-0.888893785735724,-2.657409599747401,-1.195108683310149
282,I17181,F,40.91666,44.5,PASS,2599,2201,-0.24727876349657166,-2.4394437347243936,0.6681355478168687
