IID,group_id,locality,political_entity,lat,long,molecular_sex,sample_age_years_before_1950,age_at_death,cp_pgs.imputed.HAQER,cp_pgs.imputed.background_HAQER
I0726,Turkey_N,"Menteşe (Northwest Anatolia, Marmara, Yenişehir)",Turkey,40.26,29.65,F,7950,..,5.699983574001613,0.2120610758299419
I13840,Albania_LN_C,"Tren Cave (Southeast , Devoll area)",Albania,40.671111,20.984722,M,6102,..,2.2102205509454262,-0.2137714778633998
I5069,Austria_EN_LBK,Kleinhadersdorf Flur Marchleiten,Austria,48.663197,16.589687,F,6961,30-50,2.628464385253746,-1.1277985429053543
I5208,Austria_N_LBK,Asparn Schletz,Austria,48.579752,16.46931,F,7150,..,3.0363616188544733,1.5614397850812642
I5207,Austria_N_LBK,Asparn Schletz,Austria,48.579752,16.46931,M,7150,..,2.774295105069363,-0.32823960164961347
I26629,ChannelIslands_LIA_LaTene,"Channel Islands, Alderney, Longis Common",Channel Islands,49.721729,-2.177469,F,1990,adult,6.586917118957832,2.043435025474114
I16425,ChannelIslands_LN,"Channel Islands, Guernsey, Vale, Le Déhus",Channel Islands,49.497153,-2.506461,F,4929,..,3.038195815066412,-0.698429620421551
I16429,ChannelIslands_LN,"Channel Islands, Guernsey, Vale, Le Déhus",Channel Islands,49.497153,-2.506461,M,4935,..,10.397424287942098,2.2941921653409887
I16438,ChannelIslands_LN,"Channel Islands, Guernsey, Vale, Le Déhus",Channel Islands,49.497153,-2.506461,M,4384,ChannelIslands_LN,4.57823620011743,0.4970767973778918
I16437,ChannelIslands_MN,"Channel Islands, Guernsey, Vale, Le Déhus",Channel Islands,49.497153,-2.506461,F,6091,ChannelIslands_MN,6.0160925640622684,1.468452367964573
I16444,ChannelIslands_MN,"Channel Islands, Guernsey, Vale, Le Déhus",Channel Islands,49.497153,-2.506461,M,6048,ChannelIslands_MN,2.298992514624536,-0.3829247433347713
I16427,ChannelIslands_MN_o,"Channel Islands, Guernsey, Vale, Le Déhus",Channel Islands,49.497153,-2.506461,M,6057,ChannelIslands_MN,8.650473543204587,2.805061416702243
I20502,Croatia_C,"Dakovo - Franjevac, 2007",Croatia,45.312965,18.402813,M,5950,adult; 30-35 yrs.,2.4096123422683147,0.02476773372767194
I10045,Croatia_C_Lasinja,Potočani,Croatia,45.4482,17.6388,M,6050,..,3.758639533297897,0.09280783369316575
I10048,Croatia_C_Lasinja,Potočani,Croatia,45.4482,17.6388,M,6050,..,2.083334036925168,0.29819810289854315
I10065,Croatia_C_Lasinja,Potočani,Croatia,45.4482,17.6388,F,6050,..,0.39896658408850794,-0.2850366099027329
I10293,Croatia_C_Lasinja,Potočani,Croatia,45.4482,17.6388,F,6093,..,2.775145499149238,0.10441665748320408
