IID,f_HAQERs,f_HARs,f_RAND,f_HAQERs_matched
sample1,-0.2555,-0.01449,-0.01029,-0.002381
sample10,-0.2465,-0.0358,-0.01218,-0.002381
sample100,-0.3515,-0.02088,-0.04624,-0.04133
sample101,-0.3058,0.004693,-0.02732,-0.04589
sample102,-0.301,-0.02514,-0.03678,-0.01407
sample103,-0.3121,-0.1211,-0.01597,0.0119
sample104,-0.2408,-0.0422,0.006736,-0.01017
sample105,-0.3354,-0.06777,0.03511,0.02489
sample106,-0.3407,0.04306,-0.04245,-0.04912
sample107,-0.3386,0.006824,-0.05619,-0.04523
sample109,-0.2975,-0.08482,-0.0311,-1.526e-4
sample11,-0.2583,-0.005963,-0.09732,-0.02316
sample110,-0.2798,-0.01875,-0.05002,0.005409
sample111,-0.3312,-0.0422,-0.0557,-0.02316
sample113,-0.2518,-0.0358,-0.05191,0.01646
sample114,-0.2804,-0.01875,-0.05085,0.02099
sample115,-0.2784,-0.06138,-0.0084,0.02605
sample116,-0.2729,0.02174,-0.01029,0.01969
sample117,-0.2853,-0.04646,-0.04521,0.006708
sample118,-0.2529,-0.03793,-0.06327,-0.03614
sample119,-0.3049,-0.02941,0.02376,0.03008
sample12,-0.303,-0.01236,-0.07651,0.01839
sample120,-0.3071,-0.08269,0.01052,0.04553
sample121,-0.2688,-0.01236,-0.08975,0.02359
sample122,-0.2815,-0.04859,-0.06327,0.002812
sample123,-0.3026,-0.06138,-0.05191,-0.01666
sample124,-0.2866,-0.04117,0.002952,-0.02965
sample125,-0.2405,-0.08482,-0.04435,0.005409
sample126,-0.2643,-0.01875,-0.03896,0.01171
sample127,-0.281,0.01748,-0.06894,0.04566
sample128,-0.2807,-0.02941,0.01052,0.0145
sample129,-0.3316,-0.03865,-0.03299,-0.01226
sample13,-0.2501,-0.01662,-0.06327,-0.001083
sample130,-0.3425,-0.02728,0.0162,0.0145
sample131,-0.3117,-0.03367,-0.01218,0.01969
sample132,-0.3403,-0.05498,0.05782,-0.004978
sample133,-0.2755,0.0665,-0.01786,0.03268
sample134,-0.2997,-0.003832,-0.03489,0.01034
sample135,-0.2475,-0.02403,-0.03166,0.07148
sample136,-0.2641,-0.06564,-0.03867,-0.02965
sample138,-0.2678,0.05797,0.04647,0.0158
sample14,-0.2356,-0.04646,-8.319e-4,-0.02769
sample140,-0.2745,-0.05711,0.01241,-0.05042
sample141,-0.1913,0.008956,-0.02354,0.02878
sample142,-0.2635,-0.02728,-0.02354,0.0145
sample143,-0.2963,-0.005963,0.03133,-0.01082
sample144,-0.3021,-0.008095,0.0346,-0.02251
sample145,-0.2497,-0.01023,-0.05191,-0.03614
sample146,-0.2984,-0.07416,-0.05948,-0.03159
sample147,-0.2827,-0.04859,0.006736,-0.02316
sample148,-0.2608,-0.001701,-0.04056,-0.01666
sample149,-0.3151,-0.02177,0.00106,-0.02316
sample15,-0.2957,4.305e-4,-0.08219,-0.07411
sample150,-0.2874,0.008705,0.03432,0.06514
sample151,-0.2751,0.008956,-0.02729,0.03008
sample152,-0.2728,-0.1137,-0.0311,-0.04523
sample153,-0.2645,-0.09761,-0.05191,-0.001083
sample154,-0.2638,-0.02728,-0.1181,-0.006277
sample155,-0.2528,-0.03793,-0.04056,0.007382
sample156,-0.3086,-0.05285,-0.05759,-0.01579
sample157,-0.2422,-0.08106,-0.02252,-0.002658
sample158,-0.2503,-0.04859,-0.06327,-0.02735
sample159,-0.3253,-0.06777,-0.0311,-0.02363
sample16,-0.2821,-0.02728,-0.03867,-0.01017
sample160,-0.2591,-0.0422,-0.002724,0.02618
sample161,-0.2724,-0.02301,0.03322,0.02618
sample163,-0.3108,-0.06138,-0.007389,-0.001083
sample164,-0.2914,-0.0422,-0.02354,-0.01537
sample165,-0.3159,-0.03367,-0.05002,-0.02445
sample166,-0.3123,-0.05711,-0.08597,-0.03484
sample168,-0.305,-0.0763,-0.01029,-0.001083
sample169,-0.3053,-0.0358,-0.09354,0.02079
sample17,-0.3075,0.01322,0.006736,0.01969
sample170,-0.2733,-0.06564,0.01241,0.002812
sample171,-0.2551,-0.02359,-0.04435,0.005409
sample172,-0.275,-0.02728,-0.05002,0.03445
sample173,-0.2879,-0.05711,-0.05191,0.01163
sample174,-0.284,-0.04006,-0.03299,-0.04133
sample175,-0.2827,-0.1147,-0.03867,0.002812
sample176,-0.2947,-0.0763,-0.08975,-0.02575
sample177,-0.3317,-0.05498,-0.04245,0.03268
sample178,-0.2382,-0.02728,0.01052,0.02099
sample179,-0.3037,-0.04859,0.06917,-0.0381
sample18,-0.2947,-0.05285,-0.04624,-0.002381
sample180,-0.3583,-0.07416,-0.04624,0.0119
sample181,-0.2718,-0.08482,-0.002724,0.03008
