IID,type,cp_pgs.background,cp_pgs.HAQER,cp_pgs.HAQER_SNPs_with_no_archaic_missingness,PC1,PC2,PC3,PC4,PC5,cp_pgs.HAQER_resid,cp_pgs.background_resid,cp_pgs.HAQER_SNPs_with_no_archaic_missingness_resid
HG00096,1000 Genomes,-5.83322,-1.4156376198369773,-0.9674026710737467,-3.1732574246290346,-27.341506666464376,-4.143916412891421,18.368823662024923,6.506354912308296,-1.376313381511494,-0.570886794150076,-0.8572966873870099
HG00097,1000 Genomes,1.9725,1.6456421347266148,0.6316880242065671,-1.2193763698893294,-28.14110671308115,-3.9451906773828367,12.990557704667996,-4.527992631744894,1.6537043702282532,2.821635283953461,0.6199944658250514
HG00099,1000 Genomes,-3.6514800000000003,-1.1432045332298126,-0.7560982995510119,-2.852432626162052,-30.32200967057658,-11.393932980538864,19.339918347480722,14.152242998819611,-1.103775354864402,0.3464918079081321,-0.6231375094605303
HG00100,1000 Genomes,-7.15416,-0.374762862239651,0.49410575935129003,1.0651680541372899,-31.885085713912837,-10.64691453616636,47.975747645710015,-0.07643882022927152,-0.2036911206473551,-1.076217373200117,0.6035655739970222
HG00101,1000 Genomes,-6.25602,1.0904692896290025,0.9482404032742908,-2.5256193720592144,-33.695499619492736,-10.618500649172217,43.646427309852086,-11.594395673698866,1.2133323505316542,-0.7208393379315557,0.9616176661388434
HG00102,1000 Genomes,-1.9026200000000002,1.3505145494533752,1.4655885202389054,-5.654738609502939,-34.46316578313545,-1.9846780777294866,37.30251647751091,6.560889528319789,1.5474372993266694,1.111277044613059,1.597439658402237
HG00103,1000 Genomes,-10.9624,0.03472913989232569,-1.0496933559284307,0.7209730837322617,-25.71459232658183,0.5829975556696714,-5.102295815725963,4.337150537061903,-0.03521023393929513,-2.884488097948248,-1.0180680893473648
HG00105,1000 Genomes,-6.55781,2.025898865651202,3.085211468911252,-1.5564131064513733,-29.639156933495016,5.888747215686802,-2.8882572776777335,-1.1322569586446924,1.9984189971306499,-1.0136123837949484,3.028122820316717
HG00106,1000 Genomes,-4.65601,-0.9101151844847959,-1.745364901959286,-1.9420334991970192,-30.176794823921927,0.6243600642446014,5.098108473477485,2.223757233921008,-0.9439810166162543,-0.15356790493840128,-1.6819316985819581
HG00107,1000 Genomes,-8.02561,0.6548141973317688,1.8335523684299877,-5.170828723977684,-29.577311333902237,-8.567761470283154,27.391319935923374,-14.38162491905494,0.6790695064999005,-1.5018405997395252,1.771280449293992
HG00108,1000 Genomes,-1.14975,0.36057853558689007,-0.38619439592131233,-3.540634126212778,-28.883532246023783,-8.440580332265064,29.262511409025812,-1.915983484574846,0.4391141453102564,1.5122783854481079,-0.32040030422722343
HG00109,1000 Genomes,-0.9050100000000001,0.05900928038659823,1.1854121806452562,-0.07491419645064262,-27.899640141858168,-1.1991428618559556,35.60156938023528,18.968855210958914,0.28268648761672277,1.6319191053309172,1.4008255671856247
HG00110,1000 Genomes,-4.42858,-0.4987402326818348,-0.24117525188466885,-4.876633995574026,-28.553738510055545,-9.299913028014343,30.743182367126156,-0.532083262173675,-0.42099644547623083,0.08779501218310935,-0.16510626509132104
HG00111,1000 Genomes,-5.52874,0.4761321838167751,-0.7193989175038346,-4.210631866791205,-31.73066084036543,-10.047860191277064,45.95753735502777,6.6914991556972305,0.6795759068111725,-0.38482917483385,-0.5424633443477405
HG00112,1000 Genomes,-5.46472,-1.2915611467805312,0.40373151016903375,-2.9807073622297566,-35.25483845900298,-13.191198307326319,58.21684841186066,-20.749688463606162,-1.1625055128054762,-0.32719213986670936,0.40666286332010054
HG00113,1000 Genomes,-3.4043200000000002,2.1611739341192924,1.113306786843313,0.26253495802265886,-31.575912215909774,-2.0908016051160097,42.41901000768465,-7.291066171603136,2.3490200351029915,0.5388563172232312,1.1743025070236994
HG00114,1000 Genomes,-1.09318,0.6281555940952002,1.3152342237460641,-4.378378050266686,-31.584887068230323,-4.789588948852076,56.57741054007081,-11.316319897431066,0.8562366099128412,1.6090254141332045,1.3896675863120231
HG00115,1000 Genomes,-6.34015,-1.7040262273403781,-0.9342600573307012,-0.3290458453794981,-25.849567432874572,-5.5193782609964215,61.63523284551942,23.22472313740105,-1.3472849820889075,-0.60734269256283,-0.5766234641752039
HG00116,1000 Genomes,-7.03245,-0.3545459289301344,-1.2850867491473303,-1.8627103756506296,-38.036246671372425,-13.351568273047738,166.48755334162112,59.79379166760622,0.7476208528031943,-0.6965006774634397,-0.3660834320343374
HG00117,1000 Genomes,-3.6877500000000003,-0.8396532257442743,-0.9859948690271625,-3.654803914717548,-26.64826406913023,-9.977775412819842,26.892333353929676,-12.06046925058004,-0.8347731098577815,0.438503783708856,-0.9862079249754436
HG00118,1000 Genomes,-5.43438,-0.7061620043329062,-0.433240740307782,-1.1159614940622542,-29.8431337158726,-4.535198796245894,25.611258230965994,-8.340806864298482,-0.6748622877157239,-0.3873027417243613,-0.41167916257498216
HG00119,1000 Genomes,-6.72027,-1.479657908650447,-1.000060270957138,-2.988856363135963,-31.83124265214823,-1.9846573864864454,25.657926305826862,-5.652976930875327,-1.4391797578566006,-0.9878538402519971,-0.9420044461121396
HG00120,1000 Genomes,-3.5924400000000003,-3.4324749226897993,-2.840202854485652,-2.392996075897936,-43.260866482534695,-6.269341553071486,166.44089908809474,57.98573399055496,-2.3572530920120967,0.7197335198037522,-1.886078805173648
HG00121,1000 Genomes,-3.02575,0.9731317943423954,0.046761309463449585,-6.338733598894081,-31.64698212840555,-4.172641086518076,9.605467321018514,-12.470665694732894,0.9182117403166015,0.5721527362304213,-0.016155442237068024
HG00122,1000 Genomes,-6.03733,0.02789105950822435,-0.8529394001953259,-2.306879329129371,-23.418801094167407,-1.1221910202750014,3.9328569712916357,-22.640237639672282,-0.08985174807959846,-0.6345982581559144,-0.971431973214456
HG00123,1000 Genomes,-5.88329,1.3601275030368218,1.1595447747970256,-3.207890509018288,-35.617724087902964,-14.793077424911681,46.82075645768104,-19.740393334810584,1.4540825059959885,-0.5602499551907596,1.1117704683029555
HG00125,1000 Genomes,-3.21485,1.176193050965924,1.312162469301587,-6.210143663248055,-34.29218370369821,-0.9114516150173547,37.57789241306633,-2.8469689308421002,1.3426862739581888,0.5480403638943615,1.3903963592199025
HG00126,1000 Genomes,-3.72484,0.7578809161645993,0.09558603800198504,0.16452010525608524,-24.01631900450924,-1.6483357365721432,-5.0817364578906785,-1.34587135061458,0.6700707056965234,0.3142614422701867,0.06398702184553236
HG00127,1000 Genomes,-2.07215,-0.8282564251041055,-0.3250826496048672,-0.9884054238271002,-23.90002658119412,2.264029867489115,3.884677344233933,-2.4813864649467905,-0.8693814291136752,1.0685303946966727,-0.3124344611135197
