species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,species_class,group_living,brain_mass_g,adult_body_mass_g,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk,HAQER_sequence_similarity,HAR_sequence_similarity
Lepus_americanus,Snowshoe hare,non_vocal_learner,0,Non-primates,0,9.72,1500,67.84,1568.42,0.15018512689183283,44.89287400424157,84.89925527547553
Oryctolagus_cuniculus,European rabbit,non_vocal_learner,0,Non-primates,NA,11.09,2157.6,39.11,1590.57,-0.1841181557728962,44.71828875402713,85.15650434863494
Ochotona_princeps,American pika,non_vocal_learner,0,Non-primates,0,2.39,169,11,157.63,-0.28766683671020316,41.34915166652313,81.49062947753718
Castor_canadensis,North american beaver,non_vocal_learner,0,Non-primates,0,52.21,27670,415.17,18124.41,0.33411214968679104,45.420729868302,84.80735615975557
Dipodomys_ordii,Ord's kangaroo rat,non_vocal_learner,0,Non-primates,0,1.45,57.1,4.99,50.4,-0.5690676155793946,39.68656142086825,81.61384190322829
Dipodomys_stephensi,Stephen's kangaroo rat,non_vocal_learner,0,Non-primates,0,NA,NA,4.4,68.49,-0.8315829683119674,39.98933565052532,81.50571247937786
Perognathus_longimembris,Little pocket mouse,non_vocal_learner,0,Non-primates,NA,0.33,8.15,1.25,8.07,-1.9062173680229408,39.74632984128096,81.4270968433823
Fukomys_damarensis,Damara mole-rat,non_vocal_learner,0,Non-primates,0,NA,NA,NA,NA,NA,41.53272447292416,82.6759389694649
Heterocephalus_glaber,Naked mole-rat,non_vocal_learner,0,Non-primates,0,0.52,60.8,1.86,39.36,-1.632321076312606,43.247699333600075,83.71939113170086
Cavia_aperea,Brazilian guinea pig,non_vocal_learner,0,Non-primates,0,4.04,306.45,58.38,524.38,0.4866528156678081,38.30182371949634,69.06467752335939
Cavia_porcellus,Domestic guinea pig,non_vocal_learner,0,Non-primates,0,4.83,476,79.91,727.99,0.5541492189276804,41.76951113961676,81.86982484407052
