species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,group_living,brain_mass_g,adult_body_mass_g,brain_body_ratio,longevity,gestation_days,birth_weight_g,HAQER_matching_bases,HAQER_alignment_base_length,HAQER_sequence_similarity,HAR_matching_bases,HAR_alignment_base_length,HAR_sequence_similarity,HAQER_sequence_similarity_scaled,HAR_sequence_similarity_scaled,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk
Lepus_americanus,Snowshoe hare,non_vocal_learner,0,0,9.72,1500,0.3109691077390291,5,36,65.9,119811,266882,44.89287400424157,514942,606533,84.89925527547553,-0.25147008771053087,0.11030460139361772,67.84,1568.42,0.15018512689183283
Oryctolagus_cuniculus,European rabbit,non_vocal_learner,0,NA,11.09,2157.6,0.313419512949827,9,30,39.61,119371,266940,44.71828875402713,512666,602028,85.15650434863494,-0.29206009188052684,0.19926222405748636,39.11,1590.57,-0.1841181557728962
Ochotona_princeps,American pika,non_vocal_learner,0,0,2.39,169,0.16984611477977007,7,30,9,96021,232220,41.34915166652313,484003,593937,81.49062947753718,-1.0753638833697996,-1.0684100342366658,11,157.63,-0.28766683671020316
Castor_canadensis,North american beaver,non_vocal_learner,0,0,52.21,27670,0.38670647260504865,20,128,430,144576,318304,45.420729868302,519624,612711,84.80735615975557,-0.12874682387780384,0.07852556810515623,415.17,18124.41,0.33411214968679104
Dipodomys_ordii,Ord's kangaroo rat,non_vocal_learner,0,0,1.45,57.1,0.09186194082968878,9.8,29,4.995,79414,200103,39.68656142086825,488578,598646,81.61384190322829,-1.4619059590676913,-1.0258027496407858,4.99,50.4,-0.5690676155793946
Dipodomys_stephensi,Stephen's kangaroo rat,non_vocal_learner,0,0,NA,NA,NA,NA,NA,4.4,80996,202544,39.98933565052532,488608,599477,81.50571247937786,-1.39151280025701,-1.063194279832178,4.4,68.49,-0.8315829683119674
Perognathus_longimembris,Little pocket mouse,non_vocal_learner,0,NA,0.33,8.15,-0.528433341831992,8.33,22,0.9,79408,199787,39.74632984128096,485939,596778,81.4270968433823,-1.4480101664345444,-1.0903798397118805,1.25,8.07,-1.9062173680229406
Fukomys_damarensis,Damara mole-rat,non_vocal_learner,0,0,NA,NA,NA,NA,NA,NA,117055,281838,41.53272447292416,500034,604812,82.6759389694649,-1.032684327289527,-0.6585258965493521,NA,NA,NA
Heterocephalus_glaber,Naked mole-rat,non_vocal_learner,0,0,0.52,60.8,-0.1591995552141787,31,70,1.94,125382,289916,43.247699333600075,506000,604400,83.71939113170086,-0.6339631486059251,-0.2976965159961966,1.86,39.36,-1.6323210763126061
Cavia_aperea,Brazilian guinea pig,non_vocal_learner,0,0,4.04,306.45,0.2438832093498067,10,63,59.66,82496,215384,38.30182371949634,386651,559839,69.06467752335939,-1.7838490155630053,-5.365347362730424,58.38,524.38,0.48665281566780805
Cavia_porcellus,Domestic guinea pig,non_vocal_learner,0,0,4.83,476,0.2554322358838404,14,68,83.85,121132,290001,41.76951113961676,492885,602035,81.86982484407052,-0.9776328737638319,-0.937282959928194,79.91,727.99,0.5541492189276804
Cavia_tschudii,Montane guinea pig,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,59.66,123060,292668,42.04764442986592,499235,607932,82.12020423336821,-0.9129685828391327,-0.8507008977951594,NA,NA,NA
Dolichotis_patagonum,Patagonian mara,non_vocal_learner,0,1,30.5,8000,0.380288398241803,14,85,561.94,122429,291630,41.98093474608237,500680,608309,82.30685391799234,-0.9284781768032707,-0.7861567888069257,578.96,8000,0.7440472559463257
Chinchilla_lanigera,Long-tailed chinchilla,non_vocal_learner,0,0,6.8,372,0.3238650091347961,10,111,39.27,128094,293727,43.60988264613059,510445,609097,83.80356494942514,-0.5497577409448565,-0.26858891757677156,39.59,480.28,0.2499850876780507
Ctenodactylus_gundi,Common gundi,non_vocal_learner,0,1,NA,NA,NA,5.8,74,29.9,124787,283374,44.03615010551427,499708,604239,82.70038842246197,-0.4506531606171097,-0.6500711908147896,29.89,288.41,0.2677271046302356
Ctenomys_sociabilis,Social tuco-tuco,non_vocal_learner,0,1,NA,NA,NA,NA,NA,NA,117118,290647,40.29561633183897,489552,606288,80.745784181775,-1.3203044128563546,-1.3259801236041409,NA,NA,NA
Dasyprocta_punctata,Central american agouti,non_vocal_learner,0,0,18.34,3172,0.3608337929790297,10,112,227,130316,298269,43.69076236551569,513748,611095,84.07007093823383,-0.5309537002651499,-0.17643022134149647,NA,NA,NA
Dinomys_branickii,Pacarana,non_vocal_learner,0,0,26.95,14000,0.3450348752408322,13,253,769.43,125709,293844,42.78086331522849,504015,610833,82.512732612678093,-0.7424996710735007,-0.7149632213765172,769.43,12500,0.7293350255319893
Hydrochoerus_hydrochaeris,Capybara,non_vocal_learner,0,NA,NA,NA,NA,12,150,NA,124193,295899,41.97141592232485,498372,606502,82.17153447144445,-0.9306912451783854,-0.8329507232504978,1500,48144.91,0.6138236357939454
Hystrix_cristata,Crested porcupine,non_vocal_learner,0,0,32.4,15000,0.36171264383436486,28,66,1000,143628,310174,46.30562200571292,519910,611064,85.0827409240276,0.07698519244882451,0.17375457572264555,NA,NA,NA
