name,clean_name,type,factor,estimate,statistic,p.value,fdr,parameter,conf.low,conf.high,method,alternative,sig
2018_ssgac_cognitive_performance,Cognitive performance,Cognitive,F1,0.22229824417515445,4.253344116733222,2.7099114320593156e-5,0.0010026672298619468,348,0.120271155749201,0.319678447533365,Pearson's product-moment correlation,two.sided,**
2018_ssgac_cognitive_performance,Cognitive performance,Cognitive,F2,0.19310965597276095,3.6715223197409266,2.78962188477432e-4,0.010321600973664984,348,0.09010386150834333,0.29202777312765255,Pearson's product-moment correlation,two.sided,**
2018_ssgac_cognitive_performance,Cognitive performance,Cognitive,F3,0.1005552205878162,1.885389452690414,0.060210106933072244,0.3332501007356971,348,-0.004320144501445513,0.2032426278370431,Pearson's product-moment correlation,two.sided,
2018_ssgac_cognitive_performance,Cognitive performance,Cognitive,F4,0.06546704070555504,1.2238973959589772,0.22181891505656698,0.6242897321514871,348,-0.03963479450620172,0.16913610244959434,Pearson's product-moment correlation,two.sided,
2018_ssgac_cognitive_performance,Cognitive performance,Cognitive,F5,5.604487204535339e-4,0.010455036952955597,0.9916642303230153,0.9988434776434794,348,-0.10427550328845721,0.10538408286352503,Pearson's product-moment correlation,two.sided,
2018_ssgac_cognitive_performance,Cognitive performance,Cognitive,F6,0.13896713468203042,2.6177988007924924,0.00923636563600543,0.18222872468564838,348,0.03464196980981425,0.2402963470495143,Pearson's product-moment correlation,two.sided,*
2018_ssgac_cognitive_performance,Cognitive performance,Cognitive,F7,0.012908914519917387,0.2408327448116291,0.8098265719226232,0.9878586364178354,348,-0.09204547066602213,0.11757962679443926,Pearson's product-moment correlation,two.sided,
2019_pgc_autism,Autism,Neuropsychiatric,F1,0.03436551368528102,0.6414592348923673,0.5216466077775965,0.9625205808903161,348,-0.0707190796192215,0.13869568385278677,Pearson's product-moment correlation,two.sided,
2019_pgc_autism,Autism,Neuropsychiatric,F2,0.07023072453720408,1.3133802102590204,0.1899201390984236,0.6269257505398296,348,-0.03485571847534896,0.1737811258088094,Pearson's product-moment correlation,two.sided,
2019_pgc_autism,Autism,Neuropsychiatric,F3,-0.034946756021335276,-0.6523217342260477,0.5146242782538856,0.7616439318157506,348,-0.1392663845078813,0.0701400249601461,Pearson's product-moment correlation,two.sided,
2019_pgc_autism,Autism,Neuropsychiatric,F4,-0.04062709367281072,-0.758514850961229,0.4486562236809648,0.6753270026029395,348,-0.1448400554907683,0.06447733650532712,Pearson's product-moment correlation,two.sided,
2019_pgc_autism,Autism,Neuropsychiatric,F5,0.009452995437887957,0.17635122274391016,0.8601206035693738,0.9959664730006237,348,-0.095471438185064,0.11416968396160881,Pearson's product-moment correlation,two.sided,
2019_pgc_autism,Autism,Neuropsychiatric,F6,-0.0541566772519535,-1.011764528696586,0.3123535936957553,0.7704721977828631,348,-0.15808899451533895,0.05096247433421945,Pearson's product-moment correlation,two.sided,
2019_pgc_autism,Autism,Neuropsychiatric,F7,-0.019121035505128094,-0.3567635169181425,0.7214850733164782,0.9878586364178354,348,-0.12370290426414599,0.08588093458947313,Pearson's product-moment correlation,two.sided,
2019-PGC-anorexia,Anorexia,Neuropsychiatric,F1,-0.014014340602761891,-0.2614598108041345,0.793892611227391,0.9625205808903161,348,-0.11866982592492949,0.09094910026110031,Pearson's product-moment correlation,two.sided,
2019-PGC-anorexia,Anorexia,Neuropsychiatric,F2,0.03452890456477489,0.6445126855072768,0.5196676389899284,0.8739864837557887,348,-0.07055631086552108,0.13885611840131531,Pearson's product-moment correlation,two.sided,
2019-PGC-anorexia,Anorexia,Neuropsychiatric,F3,0.05054450936433891,0.9441023385208058,0.3457723488058849,0.7131757631065817,348,-0.0545744831109334,0.15455541201124665,Pearson's product-moment correlation,two.sided,
