seqnames,start,end,width,strand,gc,cds_density,exon_density,promoter_density,repeat_content,nearest_gene_dist,gene_density_1mb,cds_overlap,exon_overlap,promoter_overlap,nearest_gene_dist_log10,range_width
chr1,1276250,1276864,615,*,0.5707317073170731,0,0,3.252032520325203,0,0,54,0,0,1,0,615
chr1,2078555,2079777,1223,*,0.48242027800490594,0,0,1.6353229762878168,0,0,27,0,0,1,0,1223
chr1,3030639,3031142,504,*,0.5634920634920635,0,0,0,0,0,9,0,0,0,0,504
chr1,3325214,3325797,584,*,0.6181506849315068,0,0,0,0,0,18,0,0,0,0,584
chr1,3487948,3488886,939,*,0.6347177848775293,0,0,0,0,0,16,0,0,0,0,939
chr1,4707040,4708035,996,*,0.4538152610441767,0,0,0,0,7069,2,0,0,0,3.8494194137968996,996
chr1,5310658,5311493,836,*,0.41866028708133973,0,0,0,0,312637,2,0,0,0,5.49504176378976,836
chr1,5545246,5546004,759,*,0.5612648221343873,0,0,0,0,78126,3,0,0,0,4.892801148148561,759
chr1,5876731,5877716,986,*,0.5344827586206896,0,0,0,0,45015,11,0,0,0,4.653366902145936,986
chr1,6633428,6634213,786,*,0.49363867684478374,0,0,0,0,0,21,0,0,0,0,786
chr1,7559356,7560324,969,*,0.4726522187822497,0,0,0,0,0,6,0,0,0,0,969
chr1,11967974,11968641,668,*,0.4116766467065868,0,0,0,0,11003,20,0,0,0,4.041550581717646,668
chr1,18599255,18600068,814,*,0.44717444717444715,0,0,0,0,0,4,0,0,0,0,814
chr1,30243941,30244854,914,*,0.18161925601750548,0,0,0,0,590615,0,0,0,0,5.771305207982239,914
chr1,30997095,30997822,728,*,0.5686813186813187,0,0,0,0,186301,8,0,0,0,5.270217517184496,728
chr1,33203723,33204671,949,*,0.5142255005268704,0,0,0,0,2840,23,0,0,0,3.4534712337229356,949
chr1,37991120,37992044,925,*,0.46702702702702703,0,0,0,0,8005,21,0,0,0,3.9034155857690864,925
chr1,39712433,39713331,899,*,0.44271412680756395,0,0,0,0,0,16,0,0,0,0,899
chr1,39985208,39985972,765,*,0.4588235294117647,0,0,0,0,0,16,0,0,0,0,765
chr1,42530286,42531275,990,*,0.37272727272727274,0,0,0,0,28689,8,0,0,0,4.457730548245999,990
chr1,44370533,44371171,639,*,0.6150234741784038,0,0,0,0,0,16,0,0,0,0,639
chr1,44605804,44606596,793,*,0.5674653215636822,0,0,0,0,4994,15,0,0,0,3.698535492562001,793
chr1,45204005,45204665,661,*,0.6686838124054463,0,0,3.02571860816944,0,824,20,0,0,1,2.916453948549925,661
chr1,45260632,45261471,840,*,0.013095238095238096,0,0,0,0,4564,20,0,0,0,3.659440781870318,840
chr1,53262557,53263162,606,*,0.028052805280528052,0,0,1.6501650165016502,0,0,19,0,0,1,0,606
chr1,54468722,54469562,841,*,0.47919143876337694,0,0,0,0,3408,14,0,0,0,3.5326270012288914,841
chr1,54469610,54470663,1054,*,0.6043643263757116,0,0,0,0,2307,14,0,0,0,3.363235804483694,1054
chr1,58071985,58072608,624,*,0.20352564102564102,0,0,0,0,0,1,0,0,0,0,624
chr1,61949396,61950314,919,*,0.5408052230685527,0,0,0,0,20935,4,0,0,0,4.320893709631824,919
chr1,63227015,63227641,627,*,0.7065390749601276,0,0,0,0,22135,6,0,0,0,4.345099146132895,627
chr1,67643116,67643931,816,*,0.3799019607843137,0,0,0,0,0,10,0,0,0,0,816
chr1,70272600,70273406,807,*,0.4052044609665427,0,0,0,0,0,5,0,0,0,0,807
chr1,70914345,70914868,524,*,0.44274809160305345,0,0,0,0,8810,7,0,0,0,3.945025201242463,524
chr1,82464119,82464853,735,*,0.25170068027210885,0,0,0,0,6011,1,0,0,0,3.7790189719148706,735
chr1,91634086,91635373,1288,*,0.30434782608695654,0,0,0,0,90949,4,0,0,0,4.958802703399503,1288
chr1,92491150,92492025,876,*,0.6381278538812786,0,0,0,0,3507,10,0,0,0,3.5450595846940027,876
chr1,96730707,96731515,809,*,0.10754017305315204,0,0,0,0,455659,1,0,0,0,5.658640905822426,809
chr1,97033541,97034501,961,*,0.3465140478668054,0,0,0,0,152673,1,0,0,0,5.183765084090178,961
