seqnames,start,end,width,strand,gc,cds_density,exon_density,promoter_density,repeat_content,nearest_gene_dist,gene_density_1mb,cds_overlap,exon_overlap,promoter_overlap,nearest_gene_dist_log10,range_width
chr1,2836803,2836824,22,*,0.5909090909090909,0,0,0,0,101221,15,0,0,0,5.0052749140870025,22
chr1,3089755,3089889,135,*,0.4444444444444444,0,0,0,0,0,11,0,0,0,0,135
chr1,7310706,7310825,120,*,0.2916666666666667,0,0,0,0,0,1,0,0,0,0,120
chr1,7651265,7651536,272,*,0.33088235294117646,0,0,0,0,0,7,0,0,0,0,272
chr1,8060034,8060380,347,*,0.4610951008645533,0,0,0,0,11398,9,0,0,0,4.056866753658313,347
chr1,10588931,10589267,337,*,0.42433234421364985,0,0,2.9673590504451037,0,0,12,0,0,1,0,337
chr1,10773092,10773533,442,*,0.4072398190045249,0,0,0,0,0,16,0,0,0,0,442
chr1,11507934,11508064,131,*,0.4122137404580153,0,0,0,0,31230,23,0,0,0,4.494585890331027,131
chr1,19688086,19688407,322,*,0.32298136645962733,0,0,0,0,0,19,0,0,0,0,322
chr1,20713361,20713539,179,*,0.6089385474860335,0,0,0,0,0,20,0,0,0,0,179
chr1,25887869,25887885,17,*,0.4117647058823529,0,0,117.6470588235294,0,0,19,0,0,1,0,17
chr1,27309618,27309945,328,*,0.5304878048780488,0,0,0,0,10249,23,0,0,0,4.010723865391773,328
chr1,30822828,30822972,145,*,0.2689655172413793,0,0,0,0,361151,4,0,0,0,5.557690024253929,145
chr1,35087405,35087631,227,*,0.42290748898678415,0,0,0,0,133016,12,0,0,0,5.1239071487444265,227
chr1,37392820,37393061,242,*,0.359504132231405,0,0,0,0,0,5,0,0,0,0,242
chr1,38445274,38445621,348,*,0.4482758620689655,0,0,0,0,0,21,0,0,0,0,348
chr1,38454640,38454995,356,*,0.5365168539325843,0,0,5.617977528089888,0,0,20,0,0,1,0,356
chr1,38687907,38688256,350,*,0.3314285714285714,0,0,0,0,7467,12,0,0,0,3.8732043092770407,350
chr1,44485148,44485404,257,*,0.669260700389105,0,0,0,0,0,15,0,0,0,0,257
chr1,44739748,44740177,430,*,0.4116279069767442,0,0,0,0,0,16,0,0,0,0,430
chr1,44902153,44902427,275,*,0.41818181818181815,0,0,0,0,0,26,0,0,0,0,275
chr1,48965148,48965550,403,*,0.3424317617866005,0,0,0,0,27271,5,0,0,0,4.435716988220835,403
chr1,49353756,49353972,217,*,0.4147465437788018,0,0,0,0,0,3,0,0,0,0,217
chr1,49481952,49482115,164,*,0.39634146341463417,0,0,0,0,0,2,0,0,0,0,164
chr1,51162458,51162883,426,*,0.34507042253521125,0,0,0,0,0,5,0,0,0,0,426
chr1,53992520,53992568,49,*,0.7142857142857143,0,0,0,0,0,17,0,0,0,0,49
chr1,56204190,56204491,302,*,0.3543046357615894,0,0,0,0,512793,0,0,0,0,5.709942935032337,302
chr1,56789792,56789809,18,*,0.5555555555555556,0,0,0,0,170609,3,0,0,0,5.23200448297183,18
chr1,57647054,57647234,181,*,0.3756906077348066,0,0,0,0,0,5,0,0,0,0,181
chr1,57719455,57719857,403,*,0.3870967741935484,0,0,0,0,0,4,0,0,0,0,403
chr1,58066514,58066615,102,*,0.38235294117647056,0,0,0,0,0,1,0,0,0,0,102
chr1,58069321,58069593,273,*,0.41025641025641024,0,0,0,0,0,1,0,0,0,0,273
chr1,58124926,58125112,187,*,0.3155080213903743,0,0,0,0,0,1,0,0,0,0,187
chr1,58464627,58464640,14,*,0.5714285714285714,0,0,0,0,0,2,0,0,0,0,14
chr1,61449356,61449489,134,*,0.40298507462686567,0,0,0,0,93456,1,0,0,0,4.970611835918372,134
