seqnames,start,end,width,strand,gc,cds_density,exon_density,promoter_density,repeat_content,nearest_gene_dist,gene_density_1mb,cds_overlap,exon_overlap,promoter_overlap,nearest_gene_dist_log10,range_width
chr1,3360163,3360338,176,*,0.5681818181818182,0,0,0,0,4977,18,0,0,0,3.6970548922725746,176
chr1,7286412,7286599,188,*,0.40425531914893614,0,0,0,0,0,1,0,0,0,0,188
chr1,7802117,7802558,442,*,0.27828054298642535,0,0,0,0,0,7,0,0,0,0,442
chr1,8970876,8970904,29,*,0.5517241379310345,0,0,0,0,30932,10,0,0,0,4.49042204157655,29
chr1,13835951,13836389,439,*,0.5239179954441914,0,0,0,0,0,9,0,0,0,0,439
chr1,22782736,22782902,167,*,0.38922155688622756,0,0,0,0,0,13,0,0,0,0,167
chr1,26504848,26505047,200,*,0.615,0,0,25,0,0,28,0,0,1,0,200
chr1,30865634,30865968,335,*,0.3402985074626866,0,0,0,0,318155,5,0,0,0,5.502640117867137,335
chr1,34131586,34131895,310,*,0.3741935483870968,0,0,0,0,0,9,0,0,0,0,310
chr1,36818640,36818759,120,*,0.575,0,0,0,0,0,17,0,0,0,0,120
chr1,39658046,39658373,328,*,0.38109756097560976,0,0,0,0,0,15,0,0,0,0,328
chr1,44507296,44507555,260,*,0.2153846153846154,0,0,0,0,6474,15,0,0,0,3.8112397727532894,260
chr1,49115273,49115498,226,*,0.3407079646017699,0,0,0,0,0,5,0,0,0,0,226
chr1,49579882,49580084,203,*,0.39408866995073893,0,0,0,0,0,2,0,0,0,0,203
chr1,49799824,49800583,760,*,0.3763157894736842,0,0,0,0,0,1,0,0,0,0,760
chr1,50505901,50506064,164,*,0.29878048780487804,0,0,0,0,7621,4,0,0,0,3.8820689444361483,164
chr1,51123441,51123666,226,*,0.3274336283185841,0,0,0,0,0,5,0,0,0,0,226
chr1,52042502,52042689,188,*,0.40425531914893614,0,0,5.319148936170213,0,161,11,0,0,1,2.2095150145426308,188
chr1,54463817,54463947,131,*,0.3435114503816794,0,0,0,0,9023,14,0,0,0,3.955399086639267,131
chr1,56412089,56412494,406,*,0.3768472906403941,0,0,0,0,547924,0,0,0,0,5.73872111630321,406
chr1,56448313,56448638,326,*,0.35276073619631904,0,0,0,0,511780,0,0,0,0,5.709084158557173,326
chr1,56483524,56484314,791,*,0.3501896333754741,0,0,0,0,476104,1,0,0,0,5.6777027424092035,791
chr1,57239689,57240274,586,*,0.3395904436860068,0,0,0,0,0,6,0,0,0,0,586
chr1,57706260,57706808,549,*,0.3770491803278688,0,0,0,0,0,4,0,0,0,0,549
chr1,58355855,58356220,366,*,0.4344262295081967,0,0,0,0,0,1,0,0,0,0,366
chr1,60030861,60030972,112,*,0.36607142857142855,0,0,0,0,0,6,0,0,0,0,112
chr1,60536447,60536463,17,*,0.4117647058823529,0,0,0,0,0,5,0,0,0,0,17
chr1,61546312,61546457,146,*,0.4246575342465753,0,0,20.547945205479454,0,0,1,0,0,1,0,146
chr1,61861168,61861402,235,*,0.34893617021276596,0,0,0,0,0,4,0,0,0,0,235
chr1,62471514,62471961,448,*,0.36830357142857145,0,0,0,0,0,7,0,0,0,0,448
chr1,64461086,64461256,171,*,0.391812865497076,0,0,0,0,0,7,0,0,0,0,171
chr1,64701183,64701346,164,*,0.2621951219512195,0,0,0,0,0,4,0,0,0,0,164
chr1,64756932,64757135,204,*,0.4411764705882353,0,0,0,0,46904,5,0,0,0,4.671219140298614,204
chr1,68549735,68549873,139,*,0.2733812949640288,0,0,0,0,0,8,0,0,0,0,139
chr1,68794968,68795145,178,*,0.33707865168539325,0,0,0,0,96683,7,0,0,0,4.985354609691673,178
chr1,68943001,68943226,226,*,0.3495575221238938,0,0,0,0,0,6,0,0,0,0,226
