seqnames,start,end,width,strand,gc,cds_density,exon_density,promoter_density,repeat_content,nearest_gene_dist,gene_density_1mb,cds_overlap,exon_overlap,promoter_overlap,nearest_gene_dist_log10,range_width
chr1,1279222,1280122,901,*,0.6725860155382908,0,0,0,0,0,54,0,0,0,0,901
chr1,1521180,1521761,582,*,0.5017182130584192,0,0,0,0,10917,47,0,0,0,4.038143089969942,582
chr1,1962764,1963616,853,*,0.6389214536928488,0,0,0,0,571,27,0,0,0,2.7573960287930244,853
chr1,2886721,2887347,627,*,0.6044657097288676,0,0,0,0,50698,14,0,0,0,4.704999393282745,627
chr1,2903374,2904034,661,*,0.5763993948562783,0,0,0,0,34011,14,0,0,0,4.531632170404512,661
chr1,3005542,3006371,830,*,0.5951807228915663,0,0,0,0,0,10,0,0,0,0,830
chr1,3790633,3791571,939,*,0.5580404685835996,0,0,0,0,0,16,0,0,0,0,939
chr1,4147084,4154083,7000,*,0.538,0,0,0,0,134440,11,0,0,0,5.128531734181751,7000
chr1,4180278,4288614,108337,*,0.4836851675789435,0,0,0,0,167634,7,0,0,0,5.224364698780793,108337
chr1,4192254,4193285,1032,*,0.5697674418604651,0,0,0,0,179610,7,0,0,0,5.254332930844708,1032
chr1,7129107,7129729,623,*,0.5280898876404494,0,0,0,0,0,7,0,0,0,0,623
chr1,9290595,9291329,735,*,0.48707482993197276,0,0,0,0,3533,15,0,0,0,3.5482665451707454,735
chr1,10994361,10995028,668,*,0.6032934131736527,0,0,0,0,11501,15,0,0,0,4.060773363261706,668
chr1,11366440,11367386,947,*,0.5438225976768744,0,0,0,0,17948,18,0,0,0,4.254040257561709,947
chr1,15675846,15676816,971,*,0.5777548918640577,0,0,0,0,0,20,0,0,0,0,971
chr1,17139092,17247428,108337,*,0.30910030737421196,0,0.10153502496838568,0.10153502496838568,0.33753011436535996,0,17,0,1,1,0,108337
chr1,18906236,18906940,705,*,0.5333333333333333,0,0,0,0,50559,8,0,0,0,4.7038070652743285,705
chr1,21122123,21122749,627,*,0.44657097288676234,0,0,0,0,8323,14,0,0,0,3.9203320715395895,627
chr1,23669984,23670711,728,*,0.6785714285714286,0,1.3736263736263736,9.615384615384615,0,0,22,0,1,1,0,728
chr1,29563996,29564846,851,*,0.7520564042303173,0,0,4.700352526439483,0,0,7,0,0,1,0,851
chr1,29788380,29789009,630,*,0.5777777777777777,0,0,0,0,135054,5,0,0,0,5.1305106672514444,630
chr1,30028967,30029905,939,*,0.5740149094781682,0,0,0,0,375641,2,0,0,0,5.5747741441598,939
chr1,30558508,30559168,661,*,0.6459909228441755,0,0,0,0,624955,0,0,0,0,5.795849441936282,661
chr1,32223714,32224702,989,*,0.5803842264914054,0,1.0111223458038423,5.055611729019211,0,0,26,0,1,1,0,989
chr1,32229449,32230284,836,*,0.7954545454545454,0,1.1961722488038278,2.3923444976076556,0,0,26,0,1,1,0,836
chr1,35457681,35458590,910,*,0.23626373626373626,2.1978021978021975,2.1978021978021975,0,0,0,13,1,1,0,0,910
chr1,37766890,37767638,749,*,0.5113484646194927,0,0,0,0,139654,14,0,0,0,5.145056489149354,749
chr1,38513010,38513720,711,*,0.6877637130801688,0,0,1.4064697609001406,0,559,18,0,0,1,2.7481880270062002,711
chr1,39500752,39501712,961,*,0.46514047866805414,0,0,0,0,443,10,0,0,0,2.6473829701146196,961
chr1,54988141,54989053,913,*,0.45454545454545453,0,0,0,0,18876,18,0,0,0,4.275932975821708,913
chr1,55811365,55813004,1640,*,0.3871951219512195,0,0,0,0,119968,7,0,0,0,5.079069038812408,1640
chr1,57775823,57776636,814,*,0.44717444717444715,0,0,0,0,0,4,0,0,0,0,814
chr1,61745949,61746725,777,*,0.3732303732303732,0,0,0,0,0,4,0,0,0,0,777
chr1,62383856,62384887,1032,*,0.39825581395348836,0,0,0,0,0,6,0,0,0,0,1032
chr1,63825118,63825751,634,*,0.4195583596214511,0,0,0,0,7509,9,0,0,0,3.8756399370041685,634
chr1,65279825,65280749,925,*,0.34486486486486484,1.081081081081081,1.081081081081081,0,0,0,8,1,1,0,0,925
chr1,66503079,66503813,735,*,0.2870748299319728,0,0,0,0,0,3,0,0,0,0,735
chr1,66607358,66607987,630,*,0.3984126984126984,0,0,0,0,0,3,0,0,0,0,630
chr1,66902451,66903595,1145,*,0.3746724890829694,0,0,0,0,62188,7,0,0,0,4.793713573408255,1145
chr1,69247130,69248272,1143,*,0.4094488188976378,0,0,0,0,284330,2,0,0,0,5.453824212469142,1143
chr1,69741720,69748719,7000,*,0.36242857142857143,0,0,0,0,284148,1,0,0,0,5.45354613197939,7000
chr1,73121819,73122414,596,*,0.3859060402684564,0,0,0,0,373413,1,0,0,0,5.572190596443181,596
chr1,74024131,74024753,623,*,0.5088282504012841,0,0,0,0,466948,1,0,0,0,5.669269449670852,623
chr1,78217396,78217932,537,*,0.48789571694599626,0,0,0,0,0,9,0,0,0,0,537
chr1,91030471,91031205,735,*,0.38095238095238093,0,0,0,0,146373,2,0,0,0,5.165463941071263,735
chr1,93457667,93458401,735,*,0.44625850340136053,0,0,0,0,30587,11,0,0,0,4.485551081516892,735
chr1,96294996,96295905,910,*,0.4054945054945055,0,0,0,0,350083,1,0,0,0,5.544172262520252,910
chr1,97236165,97236892,728,*,0.27472527472527475,2.7472527472527473,2.7472527472527473,0,0,0,3,1,1,0,0,728
chr1,97324104,97324712,609,*,0.5697865353037767,0,0,0,0,43498,3,0,0,0,4.638479273058686,609
chr1,99680384,99681293,910,*,0.35604395604395606,0,0,0,0,48554,6,0,0,0,4.686233958458255,910
chr1,99936340,99937484,1145,*,0.4253275109170306,0,0,0,0,161201,7,0,0,0,5.207370425704652,1145
chr1,105830443,105831228,786,*,0.2989821882951654,0,0,0,0,1210749,0,0,0,0,6.083054477718577,786
chr1,110109763,110110576,814,*,0.35626535626535627,0,0,0,0,0,30,0,0,0,0,814
chr1,112186332,112187102,771,*,0.3955901426718547,0,0,0,0,0,19,0,0,0,0,771
chr1,116960630,116961701,1072,*,0.5550373134328358,0,0.9328358208955223,4.664179104477611,0,0,9,0,1,1,0,1072
chr1,142875737,142876785,1049,*,0.5185891325071497,0,0,0,0,162131,1,0,0,0,5.209868740029657,1049
chr1,144160547,144161233,687,*,0.462882096069869,0,1.455604075691412,5.822416302765648,0,0,7,0,1,1,0,687
chr1,145420640,145421344,705,*,0.4297872340425532,0,0,0,0,0,23,0,0,0,0,705
chr1,153363051,153363560,510,*,0.5647058823529412,0,1.9607843137254901,1.9607843137254901,0,0,39,0,1,1,0,510
chr1,156135115,156135935,821,*,0.40194884287454324,0,0,0,0,0,39,0,0,0,0,821
chr1,156559228,156560117,890,*,0.4797752808988764,0,0,5.617977528089887,0,1440,37,0,0,1,3.1586639808139894,890
chr1,157930517,157931337,821,*,0.4457978075517661,0,0,0,0,31725,15,0,0,0,4.501415319896368,821
chr1,158440145,158441287,1143,*,0.37357830271216097,0,0,0,0,3851,23,0,0,0,3.585686278452497,1143
chr1,164071408,164072200,793,*,0.3493064312736444,0,0,0,0,456396,1,0,0,0,5.659342781040376,793
chr1,164753189,164754028,840,*,0.48214285714285715,0,0,0,0,0,3,0,0,0,0,840
chr1,165325499,165326291,793,*,0.7099621689785625,0,1.2610340479192939,2.5220680958385877,0,0,10,0,1,1,0,793
chr1,167652057,167652683,627,*,0.48165869218500795,0,0,0,0,0,10,0,0,0,0,627
chr1,167959910,167960907,998,*,0.2925851703406814,1.002004008016032,1.002004008016032,0,0,0,14,1,1,0,0,998
chr1,168862236,168863111,876,*,0.4600456621004566,0,0,0,0,100109,8,0,0,0,5.000477461374455,876
chr1,169323874,169324687,814,*,0.10442260442260443,0,0,0,0,0,12,0,0,0,0,814
chr1,169883476,169884374,899,*,0.41713014460511677,0,0,0,0,6095,14,0,0,0,3.785044958331544,899
chr1,171346740,171347407,668,*,0.38922155688622756,0,0,0,0,35516,14,0,0,0,4.5504362752802905,668
chr1,172665099,172666293,1195,*,0.4292887029288703,0,0,0,0,29086,7,0,0,0,4.463698930919374,1195
chr1,175859135,175860073,939,*,0.4909478168264111,0,0,0,0,53893,3,0,0,0,4.7315404180265235,939
chr1,179423146,179423981,836,*,0.42822966507177035,0,0,0,0,0,10,0,0,0,0,836
chr1,180231664,180232402,739,*,0.4709066305818674,0,0,0,0,0,11,0,0,0,0,739
chr1,183258156,183259209,1054,*,0.5664136622390892,0,0,0.9487666034155597,0,0,12,0,0,1,0,1054
chr1,185079912,185080747,836,*,0.44019138755980863,0,0,0,0,6470,8,0,0,0,3.8109713998222077,836
chr1,185911470,185912229,760,*,0.38026315789473686,0,0,0,0,0,7,0,0,0,0,760
chr1,186226090,186226698,609,*,0.38587848932676516,0,0,0,0,0,9,0,0,0,0,609
chr1,188419907,188420867,961,*,0.27991675338189387,0,0,0,0,1461793,0,0,0,0,6.164886174970147,961
chr1,190544574,190545345,772,*,0.2616580310880829,0,0,0,0,48674,2,0,0,0,4.687305960192069,772
chr1,190664151,190665142,992,*,0.23891129032258066,0,0,0,0,0,2,0,0,0,0,992
chr1,192595329,192596616,1288,*,0.36490683229813664,0,0,0,0,8651,9,0,0,0,3.937116510767054,1288
chr1,193495486,193496294,809,*,0.3374536464771323,0,0,0,0,271543,6,0,0,0,5.4338402111217246,809
chr1,196699907,196700782,876,*,0.2922374429223744,0,0,0,0,0,12,0,0,0,0,876
chr1,198448518,198449144,627,*,0.33014354066985646,0,0,0,0,43207,6,0,0,0,4.635564164273137,627
chr1,201637117,201637700,584,*,0.5496575342465754,0,0,0,0,0,22,0,0,0,0,584
chr1,202340165,202341125,961,*,0.3881373569198751,0,0,0,0,0,18,0,0,0,0,961
chr1,203084792,203086415,1624,*,0.5061576354679803,0,0,0,0,10420,22,0,0,0,4.017909395896689,1624
chr1,204145930,204146552,623,*,0.5104333868378812,0,0,0,0,10464,19,0,0,0,4.019739232674706,623
chr1,204455502,204456261,760,*,0.46710526315789475,0,0,0,0,0,13,0,0,0,0,760
chr1,207277151,207277971,821,*,0.4348355663824604,0,2.43605359317905,2.43605359317905,0,0,18,0,1,1,0,821
chr1,208197669,208198203,535,*,0.5196261682242991,0,1.8691588785046729,0,0,0,7,0,1,0,0,535
chr1,209776028,209777008,981,*,0.43730886850152906,1.019367991845056,1.019367991845056,0,0,0,12,1,1,0,0,981
chr1,215043145,215043648,504,*,0.7083333333333334,0,0,0,0,135236,3,0,0,0,5.131095528125255,504
